dataset,model,n_attacks,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.146
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.0656
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0632,0.0,0.2153
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.059,0.0,0.2446
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.1446,0.0,0.3257
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0651,0.0,0.3106
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.1746,0.0,0.3796
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0548,0.0,0.3609
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0726,0.0,0.375
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0994,0.0,0.4858
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.132
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.0656
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",2,True,0.0768,0.0,0.229
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",2,True,0.059,0.0,0.2446
