dataset,model,n_attacks,struct_attrs,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-twitter,grum,500,all,5,True,1,True,0.0061,0.0,0.0301
ego-twitter,edge,500,all,5,True,2,True,0.0373,0.0041,0.0706
ego-twitter,ggsd,500,all,5,True,2,False,0.008,0.0,0.0174
ego-twitter,grum,500,all,5,True,2,True,0.0368,0.0055,0.068
ego-twitter,edge,500,all,5,True,3,True,0.0952,0.0591,0.1313
ego-twitter,ggsd,500,all,5,True,3,False,0.002,0.0,0.0087
ego-twitter,grum,500,all,5,True,3,True,0.058,0.0239,0.0921
ego-twitter,edge,500,all,5,True,4,True,0.0742,0.0379,0.1106
ego-twitter,ggsd,500,all,5,True,4,False,0.006,0.0,0.0146
ego-twitter,grum,500,all,5,True,4,True,0.069,0.0351,0.1029
ego-twitter,edge,500,all,5,True,5,True,0.085,0.0475,0.1225
ego-twitter,ggsd,500,all,5,True,5,False,0.0159,0.0037,0.0281
ego-twitter,grum,500,all,5,True,5,True,0.075,0.0391,0.1108
elliptic,edge,500,all,1,True,1,False,0.0,0.0,0.0054
elliptic,ggsd,500,all,1,True,1,True,0.0,0.0,0.0069
elliptic,edge,500,all,1,True,2,True,0.0,0.0,0.0382
elliptic,ggsd,500,all,1,True,2,True,0.0,0.0,0.0223
elliptic,edge,500,all,1,True,3,True,0.0053,0.0,0.0452
elliptic,ggsd,500,all,1,True,3,True,0.0,0.0,0.0165
elliptic,edge,500,all,1,True,4,True,0.0028,0.0,0.0445
elliptic,ggsd,500,all,1,True,4,True,0.0,0.0,0.0
elliptic,edge,500,all,1,True,5,True,0.0,0.0,0.0373
elliptic,ggsd,500,all,1,True,5,True,0.0028,0.0,0.0324
elliptic,edge,500,all,2,True,1,True,0.0235,0.0,0.0502
elliptic,ggsd,500,all,2,True,1,True,0.0184,0.0,0.0401
elliptic,edge,500,all,2,True,2,True,0.0076,0.0,0.0358
elliptic,ggsd,500,all,2,True,2,True,0.0375,0.0175,0.0575
elliptic,edge,500,all,2,True,3,True,0.0,0.0,0.0186
elliptic,ggsd,500,all,2,True,3,True,0.0548,0.0305,0.0791
elliptic,edge,500,all,2,True,4,True,0.0,0.0,0.0282
elliptic,ggsd,500,all,2,True,4,True,0.0335,0.0112,0.0557
elliptic,edge,500,all,2,True,5,True,0.0,0.0,0.0225
elliptic,ggsd,500,all,2,True,5,True,0.0383,0.0143,0.0624
elliptic,edge,500,all,3,True,1,True,0.0,0.0,0.0349
elliptic,ggsd,500,all,3,True,1,True,0.0294,0.0078,0.0511
elliptic,edge,500,all,3,True,2,True,0.0,0.0,0.0005
elliptic,ggsd,500,all,3,True,2,True,0.0202,0.002,0.0383
elliptic,edge,500,all,3,True,3,True,0.0,0.0,0.0123
elliptic,ggsd,500,all,3,True,3,True,0.0306,0.01,0.0513
elliptic,edge,500,all,3,True,4,True,0.0103,0.0,0.049
elliptic,ggsd,500,all,3,True,4,True,0.0108,0.0,0.0285
elliptic,edge,500,all,3,True,5,True,0.0,0.0,0.0225
elliptic,ggsd,500,all,3,True,5,True,0.023,0.003,0.0429
elliptic,edge,500,all,4,True,1,True,0.0,0.0,0.0
elliptic,ggsd,500,all,4,True,1,True,0.0442,0.0249,0.0636
elliptic,edge,500,all,4,True,2,True,0.0257,0.0,0.0711
elliptic,ggsd,500,all,4,True,2,True,0.0351,0.0161,0.054
elliptic,edge,500,all,4,True,3,True,0.0243,0.0,0.0719
elliptic,ggsd,500,all,4,True,3,True,0.0141,0.0,0.0311
elliptic,edge,500,all,4,True,4,True,0.0,0.0,0.0305
elliptic,ggsd,500,all,4,True,4,True,0.0185,0.0,0.0371
elliptic,edge,500,all,4,True,5,True,0.0,0.0,0.0423
elliptic,ggsd,500,all,4,True,5,True,0.0125,0.0,0.0298
elliptic,edge,500,all,5,True,1,True,0.0,0.0,0.0062
elliptic,ggsd,500,all,5,True,1,True,0.0331,0.0145,0.0517
elliptic,edge,500,all,5,True,2,True,0.0,0.0,0.0251
elliptic,ggsd,500,all,5,True,2,True,0.0112,0.0,0.0297
elliptic,edge,500,all,5,True,3,True,0.0479,0.0,0.0972
elliptic,ggsd,500,all,5,True,3,True,0.0118,0.0,0.0274
elliptic,edge,500,all,5,True,4,True,0.0,0.0,0.0393
elliptic,ggsd,500,all,5,True,4,True,0.0105,0.0,0.0274
elliptic,edge,500,all,5,True,5,True,0.0,0.0,0.0321
elliptic,ggsd,500,all,5,True,5,True,0.0178,0.0009,0.0347
ego-facebook,spectre,500,all,1,True,1,True,0.0281,0.0118,0.0444
ego-facebook,spectre,500,all,1,True,2,True,0.0728,0.0474,0.0982
ego-facebook,spectre,500,all,1,True,3,True,0.0947,0.0667,0.1227
ego-facebook,spectre,500,all,1,True,4,True,0.0495,0.0261,0.0728
ego-facebook,spectre,500,all,1,True,5,True,0.0742,0.0479,0.1006
ego-facebook,spectre,500,all,2,True,1,False,0.0004,0.0,0.008
ego-facebook,spectre,500,all,2,True,2,True,0.0059,0.0,0.0162
ego-facebook,spectre,500,all,2,True,3,True,0.01,0.0,0.0216
ego-facebook,spectre,500,all,2,True,4,True,0.0087,0.0,0.0208
ego-facebook,spectre,500,all,2,True,5,True,0.0131,0.0,0.0262
